concentration,E/V
2e-05,-1.78201e-06
2e-05,-1.90139e-06
2e-05,-2.02065e-06
2e-05,-2.14642e-06
2e-05,-2.27451e-06
2e-05,-2.40559e-06
2e-05,-2.53282e-06
2e-05,-2.6682e-06
2e-05,-2.80515e-06
2e-05,-2.94755e-06
2e-05,-3.09492e-06
2e-05,-3.24123e-06
2e-05,-3.39208e-06
2e-05,-3.54801e-06
2e-05,-3.70822e-06
2e-05,-3.87409e-06
2e-05,-4.03861e-06
2e-05,-4.21223e-06
2e-05,-4.38921e-06
2e-05,-4.57483e-06
2e-05,-4.76401e-06
2e-05,-4.95874e-06
2e-05,-5.1611e-06
2e-05,-5.37293e-06
2e-05,-5.5921e-06
2e-05,-5.82088e-06
2e-05,-6.05108e-06
2e-05,-6.29712e-06
2e-05,-6.55355e-06
2e-05,-6.81865e-06
2e-05,-7.09733e-06
2e-05,-7.38249e-06
2e-05,-7.68185e-06
2e-05,-7.9898e-06
2e-05,-8.31449e-06
2e-05,-8.64594e-06
2e-05,-8.9857e-06
2e-05,-9.33762e-06
2e-05,-9.70346e-06
2e-05,-1.00794e-05
2e-05,-1.04652e-05
2e-05,-1.0862e-05
2e-05,-1.12659e-05
2e-05,-1.16798e-05
2e-05,-1.21033e-05
2e-05,-1.2533e-05
2e-05,-1.2962e-05
2e-05,-1.34054e-05
2e-05,-1.38485e-05
2e-05,-1.43012e-05
2e-05,-1.47597e-05
2e-05,-1.52162e-05
2e-05,-1.56748e-05
2e-05,-1.61377e-05
2e-05,-1.66023e-05
2e-05,-1.70656e-05
2e-05,-1.75202e-05
2e-05,-1.79812e-05
2e-05,-1.8435e-05
2e-05,-1.88897e-05
2e-05,-1.93018e-05
2e-05,-1.97442e-05
2e-05,-2.01807e-05
2e-05,-2.06126e-05
2e-05,-2.104e-05
2e-05,-2.14554e-05
2e-05,-2.1859e-05
2e-05,-2.22598e-05
2e-05,-2.2656e-05
2e-05,-2.30409e-05
2e-05,-2.34246e-05
2e-05,-2.37983e-05
2e-05,-2.41687e-05
2e-05,-2.45324e-05
2e-05,-2.48964e-05
2e-05,-2.52614e-05
2e-05,-2.56267e-05
2e-05,-2.59912e-05
2e-05,-2.63602e-05
2e-05,-2.6732e-05
2e-05,-2.71089e-05
2e-05,-2.74884e-05
2e-05,-2.78709e-05
2e-05,-2.82533e-05
2e-05,-2.8636e-05
2e-05,-2.90159e-05
2e-05,-2.93886e-05
2e-05,-2.97546e-05
2e-05,-3.01151e-05
2e-05,-3.04605e-05
2e-05,-3.07947e-05
2e-05,-3.11108e-05
2e-05,-3.14083e-05
2e-05,-3.16942e-05
2e-05,-3.1957e-05
2e-05,-3.22099e-05
2e-05,-3.24452e-05
2e-05,-3.26652e-05
2e-05,-3.28756e-05
2e-05,-3.30767e-05
2e-05,-3.3269e-05
2e-05,-3.346e-05
2e-05,-3.36484e-05
2e-05,-3.38475e-05
2e-05,-3.40471e-05
2e-05,-3.4251e-05
2e-05,-3.44625e-05
2e-05,-3.47063e-05
2e-05,-3.49426e-05
2e-05,-3.5219e-05
2e-05,-3.54961e-05
2e-05,-3.57902e-05
2e-05,-3.61242e-05
2e-05,-3.64771e-05
2e-05,-3.68217e-05
2e-05,-3.7218e-05
2e-05,-3.76263e-05
2e-05,-3.80597e-05
2e-05,-3.85266e-05
2e-05,-3.90254e-05
2e-05,-3.95042e-05
